Nada | seu-socio-gestor-auditoria-3.zip | Escopo!18/09/2026 | 53 XLSX abertos e inspecionados: 234 abas, 162.716 fórmulas, 276 validações e 470 regras condicionais. TRIAGEM-COMPLETA.md, LEIA-ME.md, INVENTARIO.md e referências lidos. Comparação com o pacote e o parecer anteriores. | Diagnóstico sem alterar qualquer XLSX; hashes dos 53 originais conferidos ao final. | Este relatório contém correções G-1 a G-32, regressões, 12 contas novas, contratos, veredictos, testes nativos e inventários. Nada significa ausência de achado naquele teste, não certificação universal.

Nada | 03-advogados/14-parcelas-e-inadimplencia.xlsx | Parcelas!E5:E404 | Validação inspecionada: {"type": "decimal", "sqref": "E5:E404", "formula1": "0", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/14-parcelas-e-inadimplencia.xlsx | Parcelas!C5:C404 | Validação inspecionada: {"type": "whole", "sqref": "C5:C404", "formula1": "1", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/14-parcelas-e-inadimplencia.xlsx | Parcelas!A5:L404 | Regra condicional: {"type": "expression", "formula": ["$H5=\"Vencida\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/14-parcelas-e-inadimplencia.xlsx | Parcelas!A5:L404 | Regra condicional: {"type": "expression", "formula": ["AND($H5=\"A vencer\",$J5<=Config!$B$6)"], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/14-parcelas-e-inadimplencia.xlsx | Parcelas!A5:L404 | Regra condicional: {"type": "expression", "formula": ["$H5=\"Paga\""], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/14-parcelas-e-inadimplencia.xlsx | Parcelas!G5:G404 | Regra condicional: {"type": "expression", "formula": ["AND($F5=\"Sim\",$G5=\"\")"], "priority": 4, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Inventário!arquivo | 4 abas; 2052 fórmulas; 8 validações; 7 regras; todas as abas protegidas; zero desbloqueada fora do amarelo. Fórmulas amarelas/editáveis: nenhuma. | Funções de células: AND, AVERAGEIFS, COUNTIFS, DATE, DAY, IF, IFERROR, INDEX, INT, LARGE, MATCH, MAX, MIN, MONTH, N, OR, REPT, ROUND, ROW, SUMIFS, TEXT, YEAR; SHA-256 inalterado: fe1014e9f993a5a65cc2e05c922cf1045286afd6b4537b2f4e60817322ddca67 | Ver achados antes de interpretar ausência de anomalia estrutural como correção funcional.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Painel!A23:H30 | Regra condicional: {"type": "expression", "formula": ["$G23=\"Previsão vencida\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Painel!A23:H30 | Regra condicional: {"type": "expression", "formula": ["$G23=\"Parada\""], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!B5:B304 | Validação inspecionada: {"type": "list", "sqref": "B5:B304", "formula1": "=OFFSET(Config!$A$18,0,0,MAX(1,COUNTA(Config!$A$18:$A$27)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!C5:C304 | Validação inspecionada: {"type": "list", "sqref": "C5:C304", "formula1": "=OFFSET(Config!$I$18,0,0,MAX(1,COUNTA(Config!$I$18:$I$27)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!D5:D304 | Validação inspecionada: {"type": "list", "sqref": "D5:D304", "formula1": "=OFFSET(Config!$C$18,0,0,MAX(1,COUNTA(Config!$C$18:$C$27)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!E5:E304 | Validação inspecionada: {"type": "list", "sqref": "E5:E304", "formula1": "=OFFSET(Config!$G$18,0,0,MAX(1,COUNTA(Config!$G$18:$G$27)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!G5:G304 | Validação inspecionada: {"type": "list", "sqref": "G5:G304", "formula1": "=Config!$A$10:$A$15", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!L5:L304 | Validação inspecionada: {"type": "list", "sqref": "L5:L304", "formula1": "=OFFSET(Config!$E$18,0,0,MAX(1,COUNTA(Config!$E$18:$E$27)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!H5:K304 | Validação inspecionada: {"type": "date", "sqref": "H5:K304", "formula1": "1", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!F5:F304 | Validação inspecionada: {"type": "decimal", "sqref": "F5:F304", "formula1": "0", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!A5:Q304 | Regra condicional: {"type": "expression", "formula": ["$Q5=\"Parada\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!A5:Q304 | Regra condicional: {"type": "expression", "formula": ["$Q5=\"Previsão vencida\""], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!A5:Q304 | Regra condicional: {"type": "expression", "formula": ["$Q5=\"Fechada\""], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!A5:Q304 | Regra condicional: {"type": "expression", "formula": ["$Q5=\"Perdida\""], "priority": 4, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/15-funil-de-propostas.xlsx | Propostas!L5:L304 | Regra condicional: {"type": "expression", "formula": ["AND($G5=\"Perdida\",$L5=\"\")"], "priority": 5, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/16-horas-por-caso.xlsx | Inventário!arquivo | 5 abas; 3934 fórmulas; 11 validações; 10 regras; todas as abas protegidas; zero desbloqueada fora do amarelo. Fórmulas amarelas/editáveis: nenhuma. | Funções de células: AND, COUNTIF, IF, IFERROR, INDEX, LARGE, MATCH, MONTH, N, OR, ROW, SUM, SUMIFS, YEAR; SHA-256 inalterado: 436dd5a1f778ad43b32317614e8b0dd6f4b33302ec5ce33f8f8a8692f5ba6c93 | Ver achados antes de interpretar ausência de anomalia estrutural como correção funcional.

Nada | 03-advogados/16-horas-por-caso.xlsx | Painel!A12:J19 | Regra condicional: {"type": "expression", "formula": ["$J12=\"Consome mais do que paga\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/16-horas-por-caso.xlsx | Painel!A12:J19 | Regra condicional: {"type": "expression", "formula": ["OR($J12=\"Margem baixa\",$J12=\"Estourou as horas\")"], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/16-horas-por-caso.xlsx | Painel!F23:F32 | Regra condicional: {"type": "expression", "formula": ["AND(ISNUMBER(F23),F23>1.1)"], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/16-horas-por-caso.xlsx | Painel!F23:F32 | Regra condicional: {"type": "expression", "formula": ["AND(ISNUMBER(F23),F23<0.6)"], "priority": 4, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/16-horas-por-caso.xlsx | Painel!L32:L91 | Regra condicional: {"type": "expression", "formula": ["L32=\"Consome mais do que paga\""], "priority": 5, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/16-horas-por-caso.xlsx | Painel!L32:L91 | Regra condicional: {"type": "expression", "formula": ["OR(L32=\"Margem baixa\",L32=\"Estourou as horas\")"], "priority": 6, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/16-horas-por-caso.xlsx | Painel!L32:L91 | Regra condicional: {"type": "expression", "formula": ["L32=\"Perto do limite\""], "priority": 7, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/16-horas-por-caso.xlsx | Painel!L32:L91 | Regra condicional: {"type": "expression", "formula": ["L32=\"Saudável\""], "priority": 8, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/16-horas-por-caso.xlsx | Painel!J32:J91 | Regra condicional: {"type": "expression", "formula": ["AND(ISNUMBER(J32),J32<0)"], "priority": 9, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/16-horas-por-caso.xlsx | Config!B6 | Validação inspecionada: {"type": "list", "sqref": "B6", "formula1": "=Config!$L$5:$L$16", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Casos!D5:D204 | Validação inspecionada: {"type": "list", "sqref": "D5:D204", "formula1": "=OFFSET(Config!$A$12,0,0,MAX(1,COUNTA(Config!$A$12:$A$21)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Casos!E5:E204 | Validação inspecionada: {"type": "list", "sqref": "E5:E204", "formula1": "=OFFSET(Config!$J$12,0,0,MAX(1,COUNTA(Config!$J$12:$J$21)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Casos!I5:I204 | Validação inspecionada: {"type": "list", "sqref": "I5:I204", "formula1": "=OFFSET(Config!$H$12,0,0,MAX(1,COUNTA(Config!$H$12:$H$21)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Casos!F5:H204 | Validação inspecionada: {"type": "decimal", "sqref": "F5:H204", "formula1": "0", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Lançamentos!B5:B604 | Validação inspecionada: {"type": "list", "sqref": "B5:B604", "formula1": "=OFFSET(Config!$A$12,0,0,MAX(1,COUNTA(Config!$A$12:$A$21)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Lançamentos!C5:C604 | Validação inspecionada: {"type": "list", "sqref": "C5:C604", "formula1": "=OFFSET(Casos!$A$5,0,0,MAX(1,COUNTA(Casos!$A$5:$A$204)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Lançamentos!D5:D604 | Validação inspecionada: {"type": "list", "sqref": "D5:D604", "formula1": "=OFFSET(Config!$F$12,0,0,MAX(1,COUNTA(Config!$F$12:$F$23)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Lançamentos!F5:F604 | Validação inspecionada: {"type": "list", "sqref": "F5:F604", "formula1": "\"Sim,Não\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Lançamentos!A5:A604 | Validação inspecionada: {"type": "date", "sqref": "A5:A604", "formula1": "1", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Lançamentos!E5:E604 | Validação inspecionada: {"type": "decimal", "sqref": "E5:E604", "formula1": "0", "formula2": "24", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 03-advogados/16-horas-por-caso.xlsx | Lançamentos!F5:F604 | Regra condicional: {"type": "expression", "formula": ["AND($C5<>\"\",$F5=\"\")"], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Inventário!arquivo | 5 abas; 142 fórmulas; 3 validações; 49 regras; todas as abas protegidas; zero desbloqueada fora do amarelo. Fórmulas amarelas/editáveis: nenhuma. | Funções de células: ABS, IF, INDEX, MATCH, OR, TEXT; SHA-256 inalterado: 08a96bb654dcc35b24c315dfe6ed4b15a22e0cbfd43e619e3e908ef63ecbc64e | Ver achados antes de interpretar ausência de anomalia estrutural como correção funcional.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!A5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$5=\"Fora\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!A5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$5=\"Perto\""], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!A5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$5=\"No alvo\""], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!C5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$6=\"Fora\""], "priority": 4, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!C5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$6=\"Perto\""], "priority": 5, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!C5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$6=\"No alvo\""], "priority": 6, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!E5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$7=\"Fora\""], "priority": 7, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!E5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$7=\"Perto\""], "priority": 8, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!E5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$7=\"No alvo\""], "priority": 9, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!G5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$8=\"Fora\""], "priority": 10, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!G5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$8=\"Perto\""], "priority": 11, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!G5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$8=\"No alvo\""], "priority": 12, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!I5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$18=\"Fora\""], "priority": 13, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!I5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$18=\"Perto\""], "priority": 14, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!I5 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$18=\"No alvo\""], "priority": 15, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!A8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$10=\"Fora\""], "priority": 16, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!A8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$10=\"Perto\""], "priority": 17, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!A8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$10=\"No alvo\""], "priority": 18, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!C8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$11=\"Fora\""], "priority": 19, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!C8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$11=\"Perto\""], "priority": 20, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!C8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$11=\"No alvo\""], "priority": 21, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!E8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$12=\"Fora\""], "priority": 22, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!E8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$12=\"Perto\""], "priority": 23, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!E8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$12=\"No alvo\""], "priority": 24, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!G8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$13=\"Fora\""], "priority": 25, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!G8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$13=\"Perto\""], "priority": 26, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!G8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$13=\"No alvo\""], "priority": 27, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!I8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$14=\"Fora\""], "priority": 28, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!I8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$14=\"Perto\""], "priority": 29, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!I8 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$14=\"No alvo\""], "priority": 30, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!A11 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$16=\"Fora\""], "priority": 31, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!A11 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$16=\"Perto\""], "priority": 32, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!A11 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$16=\"No alvo\""], "priority": 33, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!C11 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$17=\"Fora\""], "priority": 34, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!C11 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$17=\"Perto\""], "priority": 35, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!C11 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$17=\"No alvo\""], "priority": 36, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!E11 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$9=\"Fora\""], "priority": 37, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 03-advogados/17-painel-do-escritorio.xlsx | Painel!E11 | Regra condicional: {"type": "expression", "formula": ["Dados!$F$9=\"Perto\""], "priority": 38, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

